List_Type,name,team,position,Years_Exp,Proj_Goals_30g,Proj_Assists_30g,Proj_Goals_82g,Proj_Assists_82g,playerId,season,4on5_goals,5on4_goals,5on5_goals,all_goals,4on5_hits,5on4_hits,5on5_hits,all_hits,4on5_points,5on4_points,5on5_points,all_points,4on5_primaryAssists,5on4_primaryAssists,5on5_primaryAssists,all_primaryAssists,4on5_shotAttempts,5on4_shotAttempts,5on5_shotAttempts,all_shotAttempts,4on5_xGoals,5on4_xGoals,5on5_xGoals,all_xGoals,4on5_icetime,5on4_icetime,5on5_icetime,all_icetime,4on5_blocks,5on4_blocks,5on5_blocks,all_blocks,all_assists,all_icetime_mins,all_goals_p60,all_assists_p60,all_points_p60,5on5_xGoals_p60,5on4_points_p60,all_hits_p60,all_blocks_p60,all_shots_p60,Cluster,games_played,Mins_Per_Game,Pred_Goals_p60,Pred_Assists_p60
Mid-Career (4 - 5 Years) - Assists (82 Games),JJ Peterka,BUF,R,4,9.473268268279728,15.970291887994225,25.893599933297924,43.65213116051755,8482175,2024,0.0,5.0,18.0,27.0,0.0,2.0,27.0,30.0,0.0,14.0,42.0,68.0,0.0,1.0,13.0,18.0,0.0,69.0,261.0,384.0,0.0,4.28,11.2,21.93,57.0,12767.0,65291.0,84010.0,0.0,0.0,14.0,16.0,41.0,1400.1666666666667,1.157005118438281,1.7569336983692416,2.913938816807523,0.6175429998008913,3.947677606328816,1.2855612427092011,0.6856326627782406,16.455183906677775,4,77,18.183982683982684,1.041935469573916,1.7565229977986743
Mid-Career (4 - 5 Years) - Assists (82 Games),Thomas Harley,DAL,D,4,4.662819883777924,15.5741110189945,12.745041015659659,42.56923678525163,8481581,2024,0.0,1.0,11.0,16.0,0.0,0.0,30.0,33.0,0.0,12.0,29.0,50.0,0.0,4.0,7.0,14.0,8.0,53.0,309.0,396.0,0.38,1.48,6.75,9.84,6772.0,10987.0,87096.0,109429.0,1.0,4.0,97.0,110.0,34.0,1823.8166666666666,0.5263686956839595,1.1185334783284138,1.6449021740123733,0.27900248002204464,3.9319195412760535,1.0856354348481665,3.618784782827221,13.027625218177997,0,78,23.382264957264958,0.3988338933204303,1.3321302318196138
Mid-Career (4 - 5 Years) - Assists (82 Games),Aliaksei Protas,WSH,C,4,7.146815904503185,14.990328446518523,19.534630138975373,40.97356442048397,8481656,2024,3.0,0.0,20.0,30.0,0.0,0.0,19.0,20.0,5.0,1.0,50.0,66.0,2.0,1.0,19.0,25.0,22.0,0.0,205.0,250.0,2.03,0.0,14.44,21.73,6876.0,571.0,64351.0,75040.0,0.0,2.0,24.0,33.0,36.0,1250.6666666666667,1.439232409381663,1.7270788912579957,3.166311300639659,0.807819614302808,6.304728546409807,0.9594882729211087,1.5831556503198294,11.993603411513858,4,76,16.456140350877195,0.868589566218937,1.8218522845448948
Mid-Career (4 - 5 Years) - Assists (82 Games),Seth Jarvis,CAR,C,4,11.444145203374838,14.636502112240848,31.280663555891223,40.006439106791646,8482093,2024,5.0,7.0,13.0,32.0,5.0,6.0,81.0,93.0,7.0,19.0,31.0,67.0,2.0,8.0,11.0,22.0,28.0,76.0,261.0,392.0,2.32,5.95,16.66,30.81,7962.0,14214.0,57928.0,84779.0,0.0,11.0,34.0,51.0,35.0,1412.9833333333333,1.358827068023921,1.4862171056511635,2.8450441736750847,1.0353542328407679,4.812157028281975,3.94909116644452,2.165630639663124,16.64563158329303,4,73,19.35593607305936,1.1824946269897447,1.5123528055677682
Mid-Career (4 - 5 Years) - Assists (82 Games),Kent Johnson,CBJ,C,4,9.216441856664517,14.058260802200207,25.191607741549678,38.425912859347235,8482660,2024,1.0,4.0,19.0,24.0,0.0,0.0,3.0,3.0,3.0,15.0,37.0,57.0,1.0,8.0,8.0,17.0,5.0,35.0,193.0,258.0,0.33,2.1,10.24,14.44,1994.0,9938.0,56125.0,70559.0,0.0,1.0,23.0,29.0,33.0,1175.9833333333333,1.2245071500446436,1.6836973313113848,2.9082044813560284,0.6568195991091315,5.433688871000202,0.15306339375558045,1.4796128063039442,13.163451862979917,4,68,17.293872549019607,1.0658621231931071,1.6258083043403917
Mid-Career (4 - 5 Years) - Assists (82 Games),William Eklund,SJS,L,4,8.444220223375721,13.28098591733723,23.080868610560305,36.30136150738843,8482667,2024,1.0,3.0,9.0,17.0,2.0,2.0,48.0,54.0,3.0,10.0,33.0,58.0,2.0,4.0,17.0,28.0,9.0,67.0,211.0,324.0,0.23,4.8,12.18,22.93,5391.0,11452.0,67744.0,90336.0,0.0,7.0,36.0,46.0,41.0,1505.6,0.6774707757704569,1.6339001062699257,2.3113708820403827,0.6472602739726028,3.1435557107928744,2.1519659936238047,1.833156216790648,12.911795961742826,4,77,19.553246753246754,0.863715405419674,1.3584430335214754
Veterans (6 + Years) - Goals (30 Games),Alex Ovechkin,WSH,L,15,16.05984411450785,13.548113693533216,43.89690724632146,37.031510762324125,8471214,2024,0.0,11.0,21.0,44.0,0.0,3.0,102.0,110.0,0.0,19.0,38.0,73.0,0.0,3.0,12.0,19.0,0.0,148.0,302.0,508.0,0.0,8.47,12.95,31.07,57.0,15589.0,50344.0,69125.0,0.0,0.0,11.0,13.0,29.0,1152.0833333333333,2.2915009041591317,1.5103074141048825,3.801808318264014,0.9260289210233591,4.387709282186157,5.72875226039783,0.6770343580470163,26.45641952983725,4,65,17.724358974358974,1.8121777084001625,1.528756409541542
Veterans (6 + Years) - Goals (30 Games),Elias Pettersson,VAN,C,7,15.97906657170226,29.232563538655842,43.67611529598618,79.90234033899263,8480012,2024,0.0,6.0,7.0,15.0,1.0,0.0,71.0,74.0,0.0,14.0,23.0,45.0,0.0,6.0,8.0,19.0,3.0,65.0,159.0,251.0,0.28,2.66,8.17,13.01,2430.0,11252.0,53633.0,71656.0,0.0,4.0,64.0,77.0,30.0,1194.2666666666667,0.7536005358937145,1.507201071787429,2.260801607681143,0.5483937128260586,4.479203697120512,3.7177626437423243,3.8684827509210673,12.610248967288154,4,28,42.65238095238095,0.7492696170721167,1.370735367448415
Veterans (6 + Years) - Goals (30 Games),Leon Draisaitl,EDM,C,11,15.755561149261371,23.680372304340306,43.065200474647746,64.72635096519684,8477934,2024,0.0,14.0,23.0,52.0,0.0,0.0,21.0,23.0,0.0,30.0,53.0,106.0,0.0,7.0,20.0,30.0,1.0,102.0,249.0,417.0,0.02,8.12,13.63,31.42,281.0,13471.0,72319.0,91664.0,0.0,0.0,25.0,27.0,54.0,1527.7333333333333,2.0422412288357483,2.1207889684063534,4.163030197242101,0.678493895103638,8.017222180981369,0.9032990050619655,1.0603944842031767,16.377203700471288,4,71,21.51737089201878,1.4644503948301064,2.201046998090629
Veterans (6 + Years) - Goals (30 Games),Nathan MacKinnon,COL,C,12,14.614657051611537,31.24888725892568,39.94672927440487,85.41362517439686,8477492,2024,0.0,8.0,15.0,32.0,0.0,2.0,34.0,38.0,0.0,35.0,53.0,116.0,0.0,16.0,23.0,53.0,0.0,117.0,398.0,590.0,0.0,5.03,17.95,29.52,202.0,17266.0,82638.0,107989.0,0.0,1.0,51.0,58.0,84.0,1799.8166666666666,1.0667753197084888,2.800285214234783,3.8670605339432718,0.7819647135700283,7.297579057106452,1.2667956921538306,1.9335302669716359,19.668669957125264,4,79,22.782489451476792,1.2829727921295446,2.7432372854143985
